month,day,year,capture_time,release_time,band_number,species,age,sex,wing_mm,weight_g,culmen_mm,hallux_mm,tail_mm,standard_tail_mm,tarsus_mm,wing_pit_fat,keel_fat,crop
10,11,1993,14:00, ,877-76354,Red-tailed,Imature,NA,416,1300,27.3,32.7,235,NA,NA,NA,NA,NA
10,12,1993,13:15, ,745-49515,Coopers,Imature,Female,271,475,18.2,24.75,232,NA,NA,NA,NA,NA
10,13,1993,9:23, ,1173-19907,Sharp-shinned,Adult,Male,176,100,9.8,11.1,133,NA,NA,NA,NA,NA
10,14,1993,14:05, ,1373-35272,Sharp-shinned,Adult,Female,194,NA,11.4,14.2,154,NA,NA,NA,NA,NA
10,21,1993,9:20, ,877-76355,Red-tailed,Adult,NA,390,1080,30.2,29.1,209,NA,NA,NA,NA,NA
10,21,1993,15:30, ,877-76357,Red-tailed,Adult,NA,391,1130,26.4,29.4,212,NA,NA,NA,NA,NA
10,22,1993,16:35, ,877-76358,Red-tailed,Adult,NA,387,1160,26.8,31,209,NA,NA,NA,NA,NA
10,23,1993,13:05, ,1207-55941,Red-tailed,Imature,NA,420,1345,29.5,34.3,250,NA,NA,NA,NA,NA
10,25,1993,14:12, ,877-76359,Red-tailed,Adult,NA,435,1385,32.6,30.6,235,NA,NA,NA,NA,NA
10,26,1993,15:55, ,877-76360,Red-tailed,Adult,NA,400,1210,25.5,28.6,222,NA,NA,NA,NA,NA
10,31,1993,11:35, ,1207-55947,Red-tailed,Imature,NA,398,1455,28,31.5,236,NA,NA,NA,NA,NA
11,5,1993,11:00, ,877-76361,Red-tailed,Imature,NA,395,1180,25,28.9,210,NA,NA,NA,NA,NA
11,18,1993,10:37, ,877-76362,Red-tailed,Imature,NA,410,1500,27.1,33.2,239,NA,NA,NA,NA,NA
9,6,1994,9:55, ,1387-99101,Red-tailed,Imature,NA,369,1025,27.1,31.5,228,NA,NA,NA,NA,NA
9,6,1994,10:40, ,1387-99102,Red-tailed,Imature,NA,372,930,26.1,31.1,220,NA,NA,NA,NA,NA
9,7,1994,12:27, ,1387-99104,Red-tailed,Imature,NA,415,1360,28.6,33.5,233,NA,NA,NA,NA,NA
9,7,1994,13:35, ,1387-99103,Red-tailed,Imature,NA,412,1255,27.7,32.6,236,NA,NA,NA,NA,NA
9,8,1994,12:10, ,1423-16201,Sharp-shinned,Imature,Female,205,194,12.6,14.4,155,NA,NA,NA,NA,NA
9,9,1994,9:02, ,2003-58433,Sharp-shinned,Imature,Female,204,159,12.5,14.8,152,NA,NA,NA,NA,NA
9,9,1994,10:47, ,872-09611,Sharp-shinned,Imature,Male,170,90,9.5,11.3,135,NA,NA,NA,NA,NA
9,12,1994,11:24, ,1204-45804,Coopers,Adult,Male,233,340,17.8,19.4,186,NA,NA,NA,NA,NA
9,12,1994,13:50, ,1387-97105,Red-tailed,Imature,NA,375,1065,25.9,30,216,NA,NA,NA,NA,NA
9,13,1994,11:58, ,1387-79106,Red-tailed,Imature,NA,385,1125,19.6,31.4,233,NA,NA,NA,NA,NA
9,15,1994,12:45, ,1207-64601,Red-tailed,Imature,NA,422,1340,28.7,32,248,NA,NA,NA,NA,NA
9,15,1994,13:20, ,1387-79107,Red-tailed,Imature,NA,391,1050,26.6,32.2,221,NA,NA,NA,NA,NA
9,15,1994,13:35, ,1387-79108,Red-tailed,Imature,NA,410,1210,27.5,308,227,NA,NA,NA,NA,NA
9,16,1994,10:23, ,1387-79109,Red-tailed,Imature,NA,385,980,26.8,27.8,223,NA,NA,NA,NA,NA
9,16,1994,11:20, ,1387-79111,Red-tailed,Imature,NA,381,1000,25.5,29.8,219,NA,NA,NA,NA,NA
8,18,1994,12:05, ,1207-64602,Red-tailed,Adult,NA,416,1390,28.1,31.3,225,NA,NA,NA,NA,NA
9,18,1994,13:20, ,1207-64603,Red-tailed,Imature,NA,406,1275,29,33.7,238,NA,NA,NA,NA,NA
9,19,1994,12:58, ,1207-64604,Red-tailed,Imature,NA,418,1180,30.1,341.4,235,NA,NA,NA,NA,NA
9,19,1994,14:05, ,1207-64605,Red-tailed,Imature,NA,412,1210,29.3,33.8,222,NA,NA,NA,NA,NA
9,20,1994,9:05, ,2003-58435,Sharp-shinned,Adult,Female,208,168,12.7,14.8,155,NA,NA,NA,NA,NA
9,20,1994,9:33, ,2003-58436,Sharp-shinned,Imature,Female,208,146,11.8,14.9,160,NA,NA,NA,NA,NA
9,20,1994,11:04, ,1423-16203,Sharp-shinned,Imature,Male,175,108,10,11.5,137,NA,NA,NA,NA,NA
9,20,1994,12:10, ,1423-16204,Sharp-shinned,Imature,Male,166,94,9.5,11.3,127,NA,NA,NA,NA,NA
9,29,1994,13:55, ,1387-79112,Red-tailed,Imature,NA,405,1085,27.7,29.9,238,NA,NA,NA,NA,NA
9,20,1994,14:00, ,2003-58437,Sharp-shinned,Adult,Female,198,188,12.2,143,150,NA,NA,NA,NA,NA
9,29,1994,14:45, ,2003-58438,Sharp-shinned,Imature,Female,200,154,12.4,14.4,150,NA,NA,NA,NA,NA
9,21,1994,13:50, ,1387-79113,Red-tailed,Imature,NA,380,810,25.9,28.7,229,NA,NA,NA,NA,NA
9,23,1994,11:48, ,1387-79114,Red-tailed,Imature,NA,381,905,27.9,29.1,227,NA,NA,NA,NA,NA
9,26,1994,10:28, ,872-09612,Sharp-shinned,Imature,Male,169,94,9,10.2,129,NA,NA,NA,NA,NA
9,26,1994,10:54, ,2206-35417,Coopers,Imature,Female,260,420,19.6,23.9,220,NA,NA,NA,NA,NA
9,26,1994,12:10, ,1207-64606,Red-tailed,Imature,NA,428,1240,29.1,34.7,245,NA,NA,NA,NA,NA
9,26,1994,14:02, ,1207-64607,Red-tailed,Imature,NA,400,990,26.9,31.4,223,NA,NA,NA,NA,NA
9,27,1994,8:00, ,1705-24603,Coopers,Imature,Female,265,365,16.8,22.5,224,NA,NA,NA,NA,NA
9,27,1994,11:55, ,1423-16205,Sharp-shinned,Imature,Male,177,91,10.2,11.3,133,NA,NA,NA,NA,NA
9,27,1994,15:40, ,1307-79115,Red-tailed,Imature,NA,381,1010,25.8,31.7,210,NA,NA,NA,NA,NA
9,28,1994,9:25, ,1387-79116,Red-tailed,Imature,NA,403,980,26.3,29.7,234,NA,NA,NA,NA,NA
9,28,1994,11:10, ,1387-79117,Red-tailed,Imature,NA,382,860,26.5,29,219,NA,NA,NA,NA,NA
9,28,1994,11:38, ,1387-79118,Red-tailed,Imature,NA,382,970,25.8,29,216,NA,NA,NA,NA,NA
9,28,1994,13:02, ,1387-79119,Red-tailed,Imature,NA,399,980,27.5,29.9,230,NA,NA,NA,NA,NA
9,29,1994,13:55, ,1387-79120,Red-tailed,Imature,NA,380,985,23.9,29,223,NA,NA,NA,NA,NA
9,29,1994,13:16, ,1387-79121,Red-tailed,Imature,NA,375,990,25.6,30.6,220,NA,NA,NA,NA,NA
9,30,1994,10:39, ,1207-64608,Red-tailed,Imature,NA,420,1210,27.8,32.6,241,NA,NA,NA,NA,NA
10,3,1994,11:13, ,872-09613,Sharp-shinned,Imature,Male,170,89,8.6,11,136,NA,NA,NA,NA,NA
10,3,1994,13:07, ,872-09614,Sharp-shinned,Adult,Male,177,97,10,11.3,137,NA,NA,NA,NA,NA
10,4,1994,13:37, ,1387-79122,Red-tailed,Imature,NA,375,990,28,29.5,223,NA,NA,NA,NA,NA
10,4,1994,14:45, ,1207-64609,Red-tailed,Imature,NA,395,1170,28.1,31.7,238,NA,NA,NA,NA,NA
10,5,1994,11:55, ,872-09615,Sharp-shinned,Adult,Male,170,93,10.1,11.2,126,NA,NA,NA,NA,NA
10,5,1994,13:55, ,1207-64610,Red-tailed,Imature,NA,406,1350,30.5,32,235,NA,NA,NA,NA,NA
10,5,1994,15:17, ,1207-64611,Red-tailed,Imature,NA,414,1370,29.3,33,240,NA,NA,NA,NA,NA
10,5,1994,16:00, ,872-09616,Sharp-shinned,Imature,Male,173,103,9.7,19.4,137,NA,NA,NA,NA,NA
10,6,1994,10:45, ,2003-58439,Sharp-shinned,Imature,Female,209,151,12.2,13.9,160,NA,NA,NA,NA,NA
10,6,1994,11:23, ,872-09617,Sharp-shinned,Imature,Male,177,101,10.3,12.1,140,NA,NA,NA,NA,NA
10,7,1994,10:50, ,1387-79123,Red-tailed,Imature,NA,388,985,26.9,29.8,220,NA,NA,NA,NA,NA
10,7,1994,11:24, ,1387-79124,Red-tailed,Imature,NA,277,940,26.5,30.4,218,NA,NA,NA,NA,NA
10,7,1994,12:15, ,1207-64612,Red-tailed,Imature,NA,423,1310,27.4,34.1,234,NA,NA,NA,NA,NA
10,7,1994,15:40, ,1387-79125,Red-tailed,Imature,NA,365,1035,26.1,30.8,232,NA,NA,NA,NA,NA
10,7,1994,16:35, ,1387-79126,Red-tailed,Imature,NA,383,965,26.1,31.8,221,NA,NA,NA,NA,NA
10,10,1994,11:02, ,1387-79127,Red-tailed,Imature,NA,391,1125,25.4,30.9,220,NA,NA,NA,NA,NA
10,10,1994,12:01, ,1387-79128,Red-tailed,Imature,NA,389,975,26.4,30.3,232,NA,NA,NA,NA,NA
10,10,1994,12:23, ,1387-79129,Red-tailed,Imature,NA,392,1140,26.2,29.8,214,NA,NA,NA,NA,NA
10,10,1994,13:10, ,1387-79130,Red-tailed,Imature,NA,375,950,25.3,29.9,225,NA,NA,NA,NA,NA
10,10,1994,13:50, ,1207-64613,Red-tailed,Imature,NA,410,1210,28.1,28.9,238,NA,NA,NA,NA,NA
10,10,1994,15:07, ,872-09618,Sharp-shinned,Imature,Male,179,95,10.8,11.6,133,NA,NA,NA,NA,NA
10,11,1994,8:52, ,872-09619,Sharp-shinned,Imature,Male,172,89,9.4,10.8,136,NA,NA,NA,NA,NA
10,11,1994,12:36, ,2003-58440,Sharp-shinned,Adult,Female,202,195,12.4,14.1,151,NA,NA,NA,NA,NA
10,12,1994,11:15, ,1423-16206,Sharp-shinned,Imature,Male,174,93,9.5,11,131,NA,NA,NA,NA,NA
10,13,1994,13:05, ,1207-64614,Red-tailed,Imature,NA,422,1205,28.8,31.3,238,NA,NA,NA,NA,NA
10,13,1994,14:00, ,1387-79131,Red-tailed,Imature,NA,385,1045,27.6,27.5,229,NA,NA,NA,NA,NA
10,16,1994,12:05, ,1387-79132,Red-tailed,Imature,NA,363,1090,26.6,28.8,202,NA,NA,NA,NA,NA
10,16,1994,11:30, ,1207-64615,Red-tailed,Imature,NA,450,1190,30.3,32.8,226,NA,NA,NA,NA,NA
10,18,1994,10:00, ,1287-79133,Red-tailed,Imature,NA,380,960,25.6,30.1,220,NA,NA,NA,NA,NA
10,18,1994,12:35, ,1387-79134,Red-tailed,Imature,NA,385,955,26.3,30.1,215,NA,NA,NA,NA,NA
10,18,1994,13:30, ,1387-79135,Red-tailed,Imature,NA,385,1110,24.7,30.2,122,NA,NA,NA,NA,NA
10,19,1994,9:08, ,872-09620,Sharp-shinned,Imature,Male,171,100,19.1,11.5,134,NA,NA,NA,NA,NA
10,19,1994,10:46, ,1387-79136,Red-tailed,Imature,NA,380,900,24,26.5,215,NA,NA,NA,NA,NA
10,19,1994,11:27, ,1387-79137,Red-tailed,Imature,NA,384,1075,26.5,30.7,208,NA,NA,NA,NA,NA
10,19,1994,12:15, ,1387-79138,Red-tailed,Imature,NA,373,980,27.9,32.1,211,NA,NA,NA,NA,NA
10,19,1994,12:55, ,1387-79139,Red-tailed,Imature,NA,381,940,27.8,34.2,220,NA,NA,NA,NA,NA
10,19,1994,13:35, ,1387-79140,Red-tailed,Imature,NA,363,1070,25.6,30.4,204,NA,NA,NA,NA,NA
10,19,1994,13:50, ,1387-79141,Red-tailed,Imature,NA,409,1120,29.4,31.6,229,NA,NA,NA,NA,NA
10,20,1994,12:00, ,1387-79142,Red-tailed,Adult,NA,390,1060,27.6,29,205,NA,NA,NA,NA,NA
10,21,1994,10:12, ,2003-58441,Sharp-shinned,Imature,Female,204,168,12.1,14.3,155,NA,NA,NA,NA,NA
10,22,1994,14:45, ,1423-16207,Sharp-shinned,Imature,Female,197,211,11.5,13.9,150,NA,NA,NA,NA,NA
10,23,1994,11:06, ,1387-79143,Red-tailed,Imature,NA,420,1125,27.2,27.4,244,NA,NA,NA,NA,NA
10,23,1994,11:36, ,1387-79144,Red-tailed,Imature,NA,381,1100,27,28.2,225,NA,NA,NA,NA,NA
10,23,1994,13:09, ,1207-64616,Red-tailed,Imature,NA,408,1360,30,33.9,239,NA,NA,NA,NA,NA
10,23,1994,14:25, ,1387079145,Red-tailed,Imature,NA,388,995,26.7,30.7,222,NA,NA,NA,NA,NA
10,23,1994,15:00, ,1387-79146,Red-tailed,Adult,NA,398,1095,21.1,31.4,209,NA,NA,NA,NA,NA
10,24,1994,9:05, ,1423-16208,Sharp-shinned,Imature,Female,209,196,12.1,14.6,164,NA,NA,NA,NA,NA
10,25,1994,10:25, ,2003-58442,Sharp-shinned,Imature,Female,209,176,11.7,15.1,159,NA,NA,NA,NA,NA
10,25,1994,14:00, ,1387-079147,Red-tailed,Adult,NA,394,1075,25.5,29.7,211,NA,NA,NA,NA,NA
10,25,1994,14:19, ,1423-11209,Sharp-shinned,Adult,Female,204,180,12.3,15.2,160,NA,NA,NA,NA,NA
10,26,1994,9.12, ,1423-16210,Sharp-shinned,Imature,Female,204,164,12.3,14.3,157,NA,NA,NA,NA,NA
10,26,1994,10:29, ,2003-58443,Sharp-shinned,Imature,Female,209,158,12.2,14.4,160,NA,NA,NA,NA,NA
10,26,1994,11:39, ,1387-79148,Red-tailed,Imature,NA,394,1140,26.8,29.2,216,NA,NA,NA,NA,NA
10,26,1994,14:55, ,1207-64617,Red-tailed,Imature,NA,416,1240,27.9,31.8,250,NA,NA,NA,NA,NA
10,26,1994,15:40, ,1207-64618,Red-tailed,Imature,NA,445,1465,29.7,34.6,260,NA,NA,NA,NA,NA
10,27,1994,9:15, ,2003-58444,Sharp-shinned,Imature,Female,209,169,12.1,14.5,164,NA,NA,NA,NA,NA
10,27,1994,10:55, ,1387-79149,Red-tailed,Imature,NA,388,1105,26.7,28.9,217,NA,NA,NA,NA,NA
10,27,1994,11:50, ,1387-79150,Red-tailed,Imature,NA,397,1010,27.1,31.4,228,NA,NA,NA,NA,NA
10,27,1994,12:24, ,1387-79151,Red-tailed,Imature,NA,384,1075,26.3,30.5,218,NA,NA,NA,NA,NA
10,27,1994,13:37, ,1387-79152,Red-tailed,Imature,NA,379,1060,27.9,30.9,220,NA,NA,NA,NA,NA
10,28,1994,10:05, ,1387-79199,Red-tailed,Imature,NA,393,1015,27.6,31.1,227,NA,NA,NA,NA,NA
10,28,1994,10:45, ,1387-79153,Red-tailed,Imature,NA,386,1100,26,30.2,211,NA,NA,NA,NA,NA
10,29,1994,11:05, ,1387-79154,Red-tailed,Imature,NA,397,1010,25,30.6,222,NA,NA,NA,NA,NA
10,29,1994,11:50, ,1387-79155,Red-tailed,Imature,NA,382,1000,26.3,30.1,225,NA,NA,NA,NA,NA
11,1,1994,10:45, ,1387-79156,Red-tailed,Imature,NA,386,980,25.4,30.2,221,NA,NA,NA,NA,NA
11,1,1994,11:21, ,1387-79157,Red-tailed,Imature,NA,417,1240,28.7,32.4,231,NA,NA,NA,NA,NA
11,2,1994,11:41, ,1387-79158,Red-tailed,Imature,NA,403,1360,27.9,33.1,235,NA,NA,NA,NA,NA
11,2,1994,12:26, ,1204-45805,Coopers,Adult,Male,239,183,17.3,19.2,182,NA,NA,NA,NA,NA
11,2,1994,12:20, ,1207-64619,Red-tailed,Imature,NA,401,1405,29.1,82.8,235,NA,NA,NA,NA,NA
11,2,1994,14:52, ,1387-79159,Red-tailed,Adult,NA,377,1055,27,29.1,200,NA,NA,NA,NA,NA
11,6,1994,9:55, ,1207-64620,Red-tailed,Adult,NA,432,1670,27.1,32.9,216,NA,NA,NA,NA,NA
11,6,1994,10:30, ,1207-64621,Red-tailed,Imature,NA,390,1250,26.2,30.5,223,NA,NA,NA,NA,NA
11,6,1994,11:40, ,1387-79160,Red-tailed,Imature,NA,381,1030,25.3,29.9,210,NA,NA,NA,NA,NA
11,7,1994,11:22, ,1387-79161,Red-tailed,Imature,NA,403,1040,NA,29.9,229,NA,NA,NA,NA,NA
11,7,1994,12:47, ,1423-16211,Sharp-shinned,Imature,Female,213,190,12.2,15.5,160,NA,NA,NA,NA,NA
11,9,1994,9:46, ,872-09621,Sharp-shinned,Imature,Male,172,105,10,10.8,125,NA,NA,NA,NA,NA
11,9,1994,15:02, ,1807-53101,Red-tailed,Imature,NA,390,1090,26.2,28.8,226,NA,NA,NA,NA,NA
11,11,1994,10:00, ,1423-16212,Sharp-shinned,Imature,Female,204,190,11.8,13.9,154,NA,NA,NA,NA,NA
11,11,1994,11:59, ,1387-79162,Red-tailed,Adult,NA,386,1050,28.4,29.4,207,NA,NA,NA,NA,NA
11,11,1994,14:42, ,1387-79163,Red-tailed,Imature,NA,402,1110,26.1,30,238,NA,NA,NA,NA,NA
11,11,1994,15:01, ,1423-16213,Sharp-shinned,Imature,Female,201,206,12.1,13.5,151,NA,NA,NA,NA,NA
11,11,1994,15:23, ,1423-16214,Sharp-shinned,Imature,Female,202,195,12.1,14.8,158,NA,NA,NA,NA,NA
11,15,1994,11:40, ,1387-79164,Red-tailed,Adult,NA,374,1010,24.9,30.1,197,NA,NA,NA,NA,NA
11,16,1994,11:15, ,1807-53103,Red-tailed,Imature,NA,358,880,24.2,28.7,250,NA,NA,NA,NA,NA
11,16,1994,12:19, ,1387-79165,Red-tailed,Imature,NA,370,1060,24.3,29.8,215,NA,NA,NA,NA,NA
11,21,1994,10:40, ,1387-79166,Red-tailed,Imature,NA,390,920,25.7,30,214,NA,NA,NA,NA,NA
11,21,1994,13:33, ,1387-79167,Red-tailed,Imature,NA,398,1195,26.2,29.8,230,NA,NA,NA,NA,NA
9,8,1995,13:30, ,1387-170,Red-tailed,Imature,NA,360,890,26,28.4,213,NA,NA,NA,NA,NA
9,8,1995,14:20, ,1387-79171,Red-tailed,Imature,NA,355,900,25.3,29,214,NA,NA,NA,NA,NA
9,13,1995,14:30, ,1207-64623,Red-tailed,Adult,NA,375,1110,22.2,31.5,224,NA,NA,NA,NA,NA
9,13,1995,14:45, ,2003-59463,Sharp-shinned,Imature,Female,200,160,10.2,13.2,153,NA,NA,NA,NA,NA
9,14,1995,10:05, ,972-09622,Sharp-shinned,Imature,Male,179,105,10.1,11.3,131,NA,NA,NA,NA,NA
9,15,1995,9:40, ,2003-58464,Sharp-shinned,Imature,Male,175,99,9.6,12.7,145,NA,NA,NA,NA,NA
9,15,1995,9:50, ,2003-58465,Sharp-shinned,Imature,Female,203,165,12,14.4,165,NA,NA,NA,NA,NA
9,15,1995,11:05, ,2003-58466,Sharp-shinned,Imature,Female,205,100,12,12.5,168,NA,NA,NA,NA,NA
9,17,1995,11:20, ,1343-78401,Sharp-shinned,Imature,Female,213,125,11.5,14.4,156,NA,NA,NA,NA,NA
9,17,1995,12:15, ,1387-79173,Red-tailed,Imature,NA,409,1100,29,32.6,215,NA,NA,NA,NA,NA
9,17,1995,14:58, ,1343-78402,Sharp-shinned,Imature,Female,202,NA,NA,NA,164,NA,NA,NA,NA,NA
9,18,1995,14:20, ,1343-78403,Sharp-shinned,Imature,Female,195,155,11.9,14.6,155,NA,NA,NA,NA,NA
9,18,1995,15:10, ,1207-64624,Red-tailed,Imature,NA,415,1285,29.5,31.8,239,NA,NA,NA,NA,NA
9,19,1995,10:05, ,1204-45806,Coopers,Adult,Male,236,390,15.1,20.4,185,NA,NA,NA,NA,NA
9,20,1995,10:50, ,1387-79174,Red-tailed,Imature,NA,363,920,26.8,30.2,214,NA,NA,NA,NA,NA
